"Name","City","Lifecycle Stage","Type","Company Relation - Integrated at","Company Relation - App team at","Company Relation - Related to","Annual Revenue","HubSpot Owner","Year Founded","Country","Website URL","Industry","Systems"
"Västtrafik AB","Skövde","Sales Qualified Lead","Prospect","Keolis Sverige AB","","","","Adam Söderström","1998","Sweden","vasttrafik.se","Government Administration",""
"SBAB","Stockholm","Customer","Customer","","","","2.5E9","Olof Norell","1985","Sweden","sbab.se","K. Financial and insurance activities",""
"Reitan Convenience Sweden","Trondheim","Customer","Customer","","","","9.0E8","Mikael Lindvall","1948","Norway","reitangruppen.no","G. Wholesale and retail trade",""
"ELLOS GROUP","Borås","Customer","Customer","","","","2.5E9","Mikael Lindvall","1947","Sweden","ellos.se","G. Wholesale and retail trade",""
"Keolis Sverige AB","Stockholm","Evangelist","Customer","","","","4.2E9","Olof Norell","1994","Sweden","keolis.se","H. Transportation_and_storage",""
"Volvo Cars Corporation","Rockleigh","Customer","Customer","","","","1.64E11","Olof Norell","1927","Sweden","volvocars.com","C. Manufacturing",""
"ICA Gruppen","Solna","Opportunity","Prospect","","","","1.0E11","Mikael Lindvall","","Sweden","ica.se","G. Wholesale and retail trade",""
"Systembolaget AB","Stockholm","Opportunity","Prospect","","","","2.7E10","Mikael Lindvall","1955","Sweden","systembolaget.se","G. Wholesale and retail trade",""
"ISS A/S","London","Opportunity","Prospect","","","","5.0E9","Olof Norell","1901","Denmark","se.issworld.com","N. Administrsative and support service acitivities",""
"Filippa K","Stockholm","Opportunity","Prospect","","","","5.0E8","Mikael Lindvall","1993","Sweden","filippa-k.com","G. Wholesale and retail trade",""
"Recipharm","Haninge","Customer","Customer","","","","3.5E9","Olof Norell","1995","Sweden","recipharm.com","Q. Human health and social work activities",""
"A.P.C.","Paris","Customer","Customer","","","","4.2E8","Mikael Lindvall","1987","France","apc.fr","G. Wholesale and retail trade",""
"Martin & Servera","Stockholm","Opportunity","Prospect","","","","1.3E10","Mikael Lindvall","1984","Sweden","martinservera.se","G. Wholesale and retail trade",""
"Kavat","Stockholm","Opportunity","Prospect","","","","9.1E10","Mikael Lindvall","","Sweden","kavat.com","G. Wholesale and retail trade",""
"GANT Network","New York","Opportunity","Prospect","GANT AB","","GANT AB","5.0E9","Mikael Lindvall","2009","United States","gant.com","G. Wholesale and retail trade",""
"Schibsted Network","Stockholm","Opportunity","Prospect","","","","2.0E10","Olof Norell","1839","Sweden","schibsted.se","Media Production",""
"Keolis Network","Stockholm","Opportunity","Prospect","","","","5.0E10","Olof Norell","1908","Sweden","Keolis.se","H. Transportation_and_storage",""
"Resursbanken","Helsingborg","Opportunity","Prospect","","","","2.2E9","Olof Norell","1977","","resursbanken.se","K. Financial and insurance activities",""
"clearon.se","Stockholm","Opportunity","Prospect","","","","2.8E8","Olof Norell","1968","Sweden","clearon.se","K. Financial and insurance activities",""
"Bliwa Livförsäkring","Stockholm","Opportunity","Prospect","","","","5.0E8","Olof Norell","2002","Sweden","bliwa.se","K. Financial and insurance activities",""
"Taberg Media Group","Taberg","Evangelist","Customer","","","","4.5E8","Olof Norell","2000","Sweden","http://tabergmediagroup.se/","C. Manufacturing",""
"JOOR","New York","Opportunity","Prospect","","GANT AB; A.P.C.","","1.0E7","Mikael Lindvall","2010","United States","jooraccess.com","J. Information and communication",""
"Schibsted Centralen AB","Stockholm","Evangelist","Customer","","","","2.8E8","Olof Norell","2010","Sweden","schibsted.se","M. Professional, scientific and technical activities","CRM - Salesforce"
"GANT AB","New York","Evangelist","Customer","","","","1.4E9","Mikael Lindvall","1986","Sweden","gant.com","G. Wholesale and retail trade","CRM - Salesforce; Marketing - Salesforce; Middleware - Mulesoft Anypoint Platform Base Subscription"
